Crime_Type,Crime,Latitude,Longitude,Severity,Description
Theft,Pickpocketing,28.564041,77.334413,2,Victim lost wallet in a crowded market.
Theft,Theft of Vehicle,28.474771,77.476268,5,Car stolen from parking lot.
Assault,Battery,28.475,77.477,4,Physical altercation between two individuals.
Burglary,Burglary,28.46,77.45,5,House was broken into at night.
Theft,Shoplifting,28.4745,77.4755,3,Individual caught stealing clothes from a store.
Vandalism,Graffiti,28.459,77.46,2,Wall tagged with graffiti in public park.
Theft,Theft from Person,28.567,77.336,3,Cell phone grabbed from hand.
Assault,Assault with Intent,28.458,77.455,4,Attack during a late-night walk.
Road Violation,Reckless Driving,28.47,77.49,2,Driver speeding and weaving through traffic.
Theft,Theft from Vehicle,28.4745,77.4765,3,Items stolen from unlocked car.
Burglary,Attempted Burglary,28.462,77.448,3,Intruder fled before entering the house.
Vandalism,Property Damage,28.56,77.335,3,Damaged benches in a community park.
Assault,Domestic Violence,28.4755,77.479,5,Report of ongoing domestic dispute.
Theft,Identity Theft,28.457,77.45,4,Victim’s financial details compromised.
Drug Offense,Possession,28.468,77.485,4,Individual found with illegal substances.
Theft,Purse Snatching,28.566,77.3355,3,Victim's purse grabbed while walking.
Assault,Aggravated Assault,28.476,77.4785,5,Serious injury from a fight.
Robbery,Armed Robbery,28.4705,77.4825,5,Victim threatened with a weapon for money.
Traffic Violation,DUI,28.463,77.49,4,Driver arrested for intoxication.
Drug Offense,Distribution,28.4695,77.4805,5,Suspect dealing drugs on the street.
Vandalism,Window Smash,28.461,77.452,2,Property vandalized with broken glass.
Theft,Carjacking,28.4595,77.458,5,Victim's vehicle taken at gunpoint.
Vandalism,Destruction of Property,28.47,77.479,3,Community center damaged.
Assault,Verbal Threat,28.474,77.484,2,Threat made but no physical harm.
Theft,Online Fraud,28.467,77.482,4,Scammed online shopping victim.
Theft,Shoplifting,28.471,77.48,3,Caught stealing electronics in store.
Burglary,Burglary to Vehicle,28.458,77.453,3,Tools stolen from pickup truck.
Theft,Credit Card Fraud,28.475,77.481,4,Victim notified of charges made without consent.
Granted,Theft,28.4745,77.442,3,Personal items taken from picnic area.
Assault,Public Disorder,28.565,77.334,1,Disturbance in public caused by intoxicated individuals.
Violent Crime,Armed Robbery,28.47512,77.47598,4,A late-night confrontation involving firearms at a major intersection.
Property Crime,Vehicle Theft,28.4749,77.4764,3,Stolen car reported from a residential parking area. Vehicle make: Honda City.
Public Disorder,Vandalism,28.56395,77.33455,2,Graffiti spray-painted on a public wall near a market.
Violent Crime,Assault,28.4746,77.4761,4,Physical altercation outside a bar; one individual hospitalized.
Property Crime,Burglary,28.47445,77.4763,4,Home invasion reported in a secluded villa area. Electronics and jewelry missing.
Non-Violent Crime,Pickpocketing,28.5641,77.3343,3,Wallet stolen from a commuter at a busy bus stop.
Public Disorder,Street Harassment,28.4572,77.50045,4,Report of cat-calling and intimidation near a university campus.
Property Crime,Theft from Vehicle,28.4753,77.4766,2,Window smashed laptop and bag stolen from a parked car.
Non-Violent Crime,Shoplifting,28.5642,77.3342,1,Minor merchandise stolen from a convenience store during rush hour.
Violent Crime,Kidnapping Attempt,28.4748,77.4758,5,Report of an attempted abduction of a child near a park. Suspect fled.
Property Crime,Bike Theft,28.4571,77.50035,2,Motorcycle stolen from a residential parking lot; security footage unclear.
Public Disorder,Noise Complaint,28.564,77.3344,1,Loud music reported from an apartment late at night.
Violent Crime,Grievous Hurt,28.4742,77.4765,5,Victim sustained serious injuries from an attack with a blunt object.
Property Crime,Theft of Personal Items,28.475,77.476,4,Mobile phone snatched from a pedestrian while talking.
Non-Violent Crime,Pickpocketing,28.457,77.5005,1,Tourist reported their passport and money stolen from a backpack.
Public Disorder,Public Intoxication,28.56380,77.33460,1,Individual found heavily intoxicated and causing a scene in a public square.
Property Crime,Theft by Deception,28.47495,77.47625,1,Elderly person scammed out of cash by a fake service provider.
Non-Violent Crime,Pickpocketing,28.56405,77.33435,3,Cash taken from a purse in a crowded shopping mall.
Property Crime,Vehicle Theft,28.45715,77.5004,2,Scooter stolen from outside a coaching center.
Violent Crime,Sexual Assault,28.4747,77.47615,5,Report filed regarding an incident in a secluded underpass.
Property Crime,Minor Theft,28.56415,77.33425,2,Delivery package stolen from a doorstep.
Public Disorder,Illegal Gambling,28.4752,77.4765,4,Police raided an illegal gambling den operating out of a back alley.
Non-Violent Crime,Pickpocketing,28.45705,77.50045,3,Cell phone snatched near a metro station exit.
Property Crime,Burglary,28.47455,77.47605,3,Forced entry into a ground floor apartment; high-value items taken.
Violent Crime,Assault with Weapon,28.4743,77.4764,4,Attack reported involving a knife; victim is in stable condition.
Non-Violent Crime,Pickpocketing,28.5639,77.3345,3,Wallet stolen from a jacket pocket on a crowded street.
Property Crime,Theft of Personal Items,28.45725,77.5003,3,Gold chain snatched off a pedestrian during a morning walk.
Public Disorder,Unruly Behavior,28.4751,77.4763,3,Group of youths causing disruption and harassing passersby.
Non-Violent Crime,Shoplifting,28.56425,77.33415,1,Teenagers caught attempting to steal snacks from a supermarket.
Property Crime,Theft from Vehicle,28.457,77.5005,4,Car stereo and navigation system stolen from a locked car.
Violent Crime,Homicide,28.47477,77.47627,5,Body discovered in a secluded construction site. Investigation ongoing.
Non-Violent Crime,Pickpocketing,28.56404,77.33441,3,Theft reported on a public transport bus route.
Property Crime,Vehicle Theft,28.45714,77.5004,3,Luxury SUV stolen during daylight hours from a mall parking lot.
Public Disorder,Trespassing,28.47465,77.4761,2,Individual found illegally entering a private factory compound.
Non-Violent Crime,Pickpocketing,28.56398,77.33446,3,Tourists targeted in a busy street market.
Property Crime,Minor Theft,28.45718,77.50036,2,Bicycle lock cut and bike stolen from a school premise.
Violent Crime,Road Rage Assault,28.47505,77.4765,4,Physical fight escalated from a minor traffic accident.
Non-Violent Crime,Pickpocketing,28.56401,77.33443,3,Mobile phone stolen from a person sitting at an outdoor cafe.
Property Crime,Theft of Personal Items,28.45722,77.50038,5,Briefcase containing sensitive documents stolen from an office worker.
Violent Crime,Domestic Violence,28.47435,77.4762,5,Police responded to a severe domestic dispute at a residential address.
Property Crime,Vehicle Theft,28.47515,77.47635,3,Truck stolen from an industrial area overnight.
Non-Violent Crime,Pickpocketing,28.56408,77.33438,3,Keys and wallet stolen from a backpack while walking.
Public Disorder,Loud Party,28.45708,77.50042,1,Late-night complaint about excessive noise from a rented venue.
Property Crime,Burglary Attempt,28.47485,77.476,3,Suspects attempted to break into a jewelry store but were deterred by an alarm.
Non-Violent Crime,Pickpocketing,28.56392,77.33453,3,Man's watch stolen without him noticing in a crowded elevator.
Property Crime,Minor Theft,28.45712,77.50033,2,Flower pots stolen from the entrance of a house.
Violent Crime,Stalking,28.4745,77.47645,2,Restraining order violation reported; suspect seen near the victim's workplace.
Theft,Pickpocketing,28.564041,77.334413,1,Pickpocketing incident in a crowded market area.
Assault,Physical Assault,28.474771,77.476268,4,Physical assault reported near a popular park.
Theft,Shoplifting,28.458,77.497,2,Shoplifting incident at a local convenience store.
Robbery,Armed Robbery,28.476,77.472,5,Armed robbery at a gas station.
Burglary,Break-in,28.469,77.486,3,Break-in at a residential property.
Theft,Pickpocketing,28.564041,77.334413,1,Pickpocketing identified at a busy subway station.
Fraud,Online Fraud,28.45,77.48,2,Online fraud reported through a local business.
Assault,Verbal Assault,28.4749,77.476,2,Verbal assault reported in a public setting.
Theft,Theft from Vehicle,28.46,77.496,3,Theft from an unattended vehicle reported in a parking lot.
Vandalism,Graffiti,28.47,77.47,2,Graffiti found on the side of a building.
Robbery,Carjacking,28.465,77.49,5,Carjacking incident near a supermarket.
Assault,Domestic Violence,28.475,77.477,4,Domestic violence reported at a home.
Theft,Bike Theft,28.564041,77.334413,3,Bike stolen from a bike rack near the park.
Theft,Shoplifting,28.457,77.5004,2,Shoplifting incident at a local grocery store.
Fraud,Identity Theft,28.47,77.485,3,Identity theft reported by a victim through email.
Vandalism,Property Damage,28.464,77.49,2,Property damage reported at a local community center.
Theft,Wallet Snatching,28.564041,77.334413,1,Wallet snatched during an outdoor event.
Assault,Public Disorder,28.474,77.4765,3,Public disturbance leading to minor injuries.
Theft,Pickpocketing,28.45714,77.500399,1,Pickpocketing reported at a crowded local bazaar.
Robbery,Home Invasion,28.462,77.494,4,Home invasion reported at a suburban house.
Fraud,Investment Scam,28.455,77.477,2,Investment scam reported by an individual.
Assault,Street Fight,28.466,77.476,3,Street fight reported after a sports event.
Theft,recycling bin theft,28.467,77.488,1,Theft of materials from a residential recycling bin.
Vandalism,Park Damage,28.465,77.472,2,Damage done to public park benches.
Robbery,Pickpocketing,28.564041,77.334413,1,Another pickpocketing case in a tourist spot.
Fraud,Phone Scams,28.45,77.4765,3,Multiple reports of phone scams targeting elderly citizens.
Theft,Laptop Theft,28.45714,77.500399,3,Laptop stolen from a student at coffee shop.
Assault,Physical Assault,28.474,77.47,4,Physical assault at a nightclub.
Theft,Iphone Theft,28.462,77.4965,3,Iphone stolen from a table at a coffee shop.
Robbery,Bank Robbery,28.477,77.489,5,Bank robbery in progress police dispatched.
Vandalism,Smashed Windows,28.46,77.472,2,Smashed windows reported at an old building.
Assault,Domestic Dispute,28.474,77.477,4,Domestic dispute resulting in police involvement.
